"","Hospital Name","City","State","County Name","Heart Attack Mortality","Heart Attack Readmission","Heart Failure Mortality","Heart Failure Readmission","Pneumonia Mortality","Pneumonia Readmission"
"245","MERCY HOSPITAL SCOTT COUNTY","WALDRON","AR","SCOTT","15","12","72","77","104","114"
"246","COMMUNITY MEDICAL CENTER IZARD COUNTY","CALICO ROCK","AR","IZARD","14","13","67","78","74","91"
"247","CROSSRIDGE COMMUNITY HOSPITAL","WYNNE","AR","CROSS","10","4","64","72","196","206"
"248","MCGEHEE HOSPITAL","MCGEHEE","AR","DESHA","3","3","45","51","91","85"
"249","LAWRENCE MEMORIAL HOSPITAL","WALNUT RIDGE","AR","LAWRENCE","6","6","60","70","178","188"
"250","STONE COUNTY MEDICAL CENTER","MOUNTAIN VIEW","AR","STONE","22","19","93","118","137","152"
"251","HOWARD MEMORIAL HOSPITAL","NASHVILLE","AR","HOWARD","19","11","64","77","135","139"
"252","BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS","HEBER SPRINGS","AR","CLEBURNE","17","10","59","61","130","132"
"253","OZARK HEALTH","CLINTON","AR","VAN BUREN","13","9","113","139","185","194"
"254","DEWITT HOSPITAL & NURSING HOME, INC","DE WITT","AR","ARKANSAS","8","7","44","58","72","73"
"255","SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER","OSCEOLA","AR","MISSISSIPPI","4","4","55","62","68","77"
"256","DALLAS COUNTY MEDICAL CENTER","FORDYCE","AR","DALLAS","4","2","32","41","134","144"
"257","BOONEVILLE COMMUNITY HOSPITAL","BOONEVILLE","AR","LOGAN","10","8","46","53","103","114"
"258","DE QUEEN MEDICAL CENTER, INC","DE QUEEN","AR","SEVIER","6","3","84","105","134","148"
"259","LITTLE RIVER MEMORIAL HOSPITAL","ASHDOWN","AR","LITTLE RIVER","17","15","36","52","58","62"
"260","BAPTIST HEALTH MEDICSL CENTER-ARKADELPHIA","ARKADELPHIA","AR","CLARK","15","7","54","62","107","100"
"261","ASHLEY COUNTY MEDICAL CENTER","CROSSETT","AR","ASHLEY","9","4","48","52","137","128"
"262","ST VINCENT MORRILTON","MORRILTON","AR","CONWAY","17","14","40","48","85","84"
"263","DELTA MEMORIAL HOSPITAL","DUMAS","AR","DESHA","8","3","42","46","82","83"
"264","BRADLEY COUNTY MEDICAL CENTER","WARREN","AR","BRADLEY","7","2","68","77","191","208"
"265","CHICOT MEMORIAL MEDICAL CENTER","LAKE VILLAGE","AR","CHICOT","15","8","142","161","135","141"
"266","ST JOHN'S HOSPITAL-BERRYVILLE","BERRYVILLE","AR","CARROLL","11","9","45","54","163","173"
"267","PIGGOTT COMMUNITY HOSPITAL","PIGGOTT","AR","CLAY","10","5","101","109","114","117"
"268","OZARKS COMMUNITY HOSPITAL OF GRAVETTE","GRAVETTE","AR","BENTON","7","3","24","32","104","110"
"269","ARKANSAS CHILDREN'S HOSPITAL","LITTLE ROCK","AR","PULASKI","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"270","ST ROSE HOSPITAL","HAYWARD","CA","ALAMEDA","124","96","177","212","112","113"
"271","ST JOSEPH HOSPITAL","EUREKA","CA","HUMBOLDT","145","147","188","197","188","187"
"272","PENINSULA MEDICAL CENTER","BURLINGAME","CA","SAN MATEO","148","143","375","428","387","400"
"273","CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP","SAN FRANCISCO","CA","SAN FRANCISCO","9","6","57","60","60","64"
"274","QUEEN OF THE VALLEY MEDICAL CENTER","NAPA","CA","NAPA","180","185","357","406","315","322"
"275","ST HELENA HOSPITAL","SAINT HELENA","CA","NAPA","63","72","143","191","124","145"
"276","SUTTER AMADOR HOSPITAL","JACKSON","CA","AMADOR","32","16","136","150","168","169"
"277","ARROYO GRANDE COMMUNITY HOSPITAL","ARROYO GRANDE","CA","SAN LUIS OBISPO","44","30","135","158","152","158"
"278","MERCY GENERAL HOSPITAL","SACRAMENTO","CA","SACRAMENTO","358","565","276","398","282","298"
"279","PACIFIC ALLIANCE MEDICAL CENTER","LOS ANGELES","CA","LOS ANGELES","45","32","236","270","127","124"
"280","RIVERSIDE COMMUNITY HOSPITAL","RIVERSIDE","CA","RIVERSIDE","249","333","377","482","288","301"
"281","PARADISE VALLEY HOSPITAL","NATIONAL CITY","CA","SAN DIEGO","64","41","224","272","200","212"
"282","UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER","SAN DIEGO","CA","SAN DIEGO","174","237","225","276","218","271"
"283","GROSSMONT HOSPITAL","LA MESA","CA","SAN DIEGO","310","284","626","736","535","549"
"284","MAD RIVER COMMUNITY HOSPITAL","ARCATA","CA","HUMBOLDT","15","7","51","59","152","151"
"285","OROVILLE HOSPITAL","OROVILLE","CA","BUTTE","108","80","325","408","410","432"
"286","BAKERSFIELD MEMORIAL HOSPITAL","BAKERSFIELD","CA","KERN","161","178","272","328","293","294"
"287","SANTA CLARA VALLEY MEDICAL CENTER","SAN JOSE","CA","SANTA CLARA","63","61","122","156","119","151"
"288","ENLOE MEDICAL CENTER","CHICO","CA","BUTTE","326","382","403","492","678","692"
"289","LAC/OLIVE VIEW-UCLA MEDICAL CENTER","SYLMAR","CA","LOS ANGELES","15","10","46","55","55","55"
"290","ST ELIZABETH COMMUNITY HOSPITAL","RED BLUFF","CA","TEHAMA","41","29","131","167","205","227"
"291","ALTA BATES SUMMIT MEDICAL CENTER","OAKLAND","CA","ALAMEDA","242","292","392","520","342","362"
"292","EL CENTRO REGIONAL MEDICAL CENTER","EL CENTRO","CA","IMPERIAL","136","77","236","277","260","267"
"293","OJAI VALLEY COMMUNITY HOSPITAL","OJAI","CA","VENTURA","9","7","22","24","62","67"
"294","CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP","SAN FRANCISCO","CA","SAN FRANCISCO","195","220","429","546","310","349"
"295","SAN GORGONIO MEMORIAL HOSPITAL","BANNING","CA","RIVERSIDE","68","43","80","98","193","197"
"296","CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS","SAN FRANCISCO","CA","SAN FRANCISCO","25","10","124","149","125","129"
"297","ANTELOPE VALLEY HOSPITAL MED CENTER","LANCASTER","CA","LOS ANGELES","208","193","353","424","363","316"
"298","KAWEAH DELTA MEDICAL CENTER","VISALIA","CA","TULARE","364","392","550","603","789","786"
"299","GLENDALE MEM HOSPITAL & HLTH CENTER","GLENDALE","CA","LOS ANGELES","202","238","501","664","343","333"
"300","COMMUNITY REGIONAL MEDICAL CENTER","FRESNO","CA","FRESNO","427","467","386","499","413","444"
"301","HOLLYWOOD PRESBYTERIAN MEDICAL CENTER","LOS ANGELES","CA","LOS ANGELES","162","113","349","425","256","258"
"302","OAK VALLEY DISTRICT HOSPITAL","OAKDALE","CA","STANISLAUS","25","17","47","60","71","66"
"303","ST JOSEPH HOSPITAL","ORANGE","CA","ORANGE","185","181","390","460","247","264"
"304","KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO","SOUTH SAN FRANCISCO","CA","SAN MATEO","9","4","5","7","14","15"
"305","KAISER FOUNDATION HOSPITAL-SANTA CLARA","SANTA CLARA","CA","SANTA CLARA","12","19","27","30","10","12"
"306","KAISER FOUNDATION HOSPITAL - WALNUT CREEK","WALNUT CREEK","CA","CONTRA COSTA","9","4","10","13","7","9"
"307","KAISER FOUNDATION HOSPITAL AND REHAB CENTER","VALLEJO","CA","SOLANO","13","12","24","29","32","29"
"308","KAISER FOUNDATION HOSPITAL OAKLAND/RICHMOND","OAKLAND","CA","ALAMEDA","16","9","36","42","20","22"
"309","KAISER FOUNDATION HOSPITAL - SAN FRANCISCO","SAN FRANCISCO","CA","SAN FRANCISCO","12","21","10","10","8","7"
"310","SCRIPPS MERCY HOSPITAL","SAN DIEGO","CA","SAN DIEGO","303","287","588","722","575","585"
"311","PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO","SAN PEDRO","CA","LOS ANGELES","37","21","130","145","153","150"
"312","DOCTORS MEDICAL CENTER-SAN PABLO","SAN PABLO","CA","CONTRA COSTA","139","143","288","349","206","201"
"313","ST JOHNS REGIONAL MEDICAL CENTER","OXNARD","CA","VENTURA","212","241","382","464","412","401"
"314","ST JOSEPHS MED CENTER OF STOCKTON","STOCKTON","CA","SAN JOAQUIN","280","300","609","683","619","595"
"315","COMMUNITY HOSPITAL OF SAN BERNARDINO","SAN BERNARDINO","CA","SAN BERNARDINO","29","16","78","94","118","120"
"316","SONOMA VALLEY HOSPITAL","SONOMA","CA","SONOMA","34","32","118","131","105","105"
"317","COMMUNITY AND MISSION  HOSPITAL OF HUNTINGTON PARK","HUNTINGTON PARK","CA","LOS ANGELES","4","2","86","106","45","46"
"318","SAINT AGNES MEDICAL CENTER","FRESNO","CA","FRESNO","559","541","1161","1348","1090","1062"
"319","DOCTORS HOSPITAL OF WEST COVINA, INC","WEST COVINA","CA","LOS ANGELES","Not Available","Not Available","2","1","2","2"
"320","SAN ANTONIO COMMUNITY HOSPITAL","UPLAND","CA","SAN BERNARDINO","212","193","395","492","410","440"
"321","SHARP MEMORIAL HOSPITAL","SAN DIEGO","CA","SAN DIEGO","226","264","370","434","441","438"
"322","SUTTER SOLANO MEDICAL CENTER","VALLEJO","CA","SOLANO","44","26","115","137","106","107"
"323","PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER","RIVERSIDE","CA","RIVERSIDE","50","30","115","122","191","204"
"324","WHITE MEMORIAL MEDICAL CENTER","LOS ANGELES","CA","LOS ANGELES","129","130","258","325","210","217"
"325","SAINT FRANCIS MEDICAL CENTER","LYNWOOD","CA","LOS ANGELES","73","68","255","324","98","104"
"326","MARIAN REGIONAL MEDICAL CENTER","SANTA MARIA","CA","SANTA BARBARA","186","164","265","288","259","270"
"327","SUTTER GENERAL HOSPITAL","SACRAMENTO","CA","SACRAMENTO","285","379","385","515","380","432"
"328","LOMPOC VALLEY MEDICAL CENTER","LOMPOC","CA","SANTA BARBARA","27","18","114","116","163","144"
"329","TEMPLE COMMUNITY HOSPITAL","LOS ANGELES","CA","LOS ANGELES","32","28","121","141","86","76"
"330","SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL","SANTA MONICA","CA","LOS ANGELES","147","133","337","415","356","382"
"331","SAN MATEO MEDICAL CENTER","SAN MATEO","CA","SAN MATEO","20","10","19","27","28","25"
"332","PALOMAR MEDICAL CENTER","ESCONDIDO","CA","SAN DIEGO","224","232","313","375","241","264"
"333","NORTHRIDGE HOSPITAL MEDICAL CENTER","NORTHRIDGE","CA","LOS ANGELES","226","228","382","480","302","309"
"334","DOCTORS HOSPITAL OF MANTECA","MANTECA","CA","SAN JOAQUIN","41","25","188","225","183","188"
"335","ADVENTIST MEDICAL CENTER","HANFORD","CA","KINGS","112","63","367","469","459","451"
"336","DAMERON HOSPITAL","STOCKTON","CA","SAN JOAQUIN","54","58","113","132","163","162"
"337","VERDUGO HILLS HOSPITAL","GLENDALE","CA","LOS ANGELES","80","42","165","197","222","217"
"338","REGIONAL MEDICAL CENTER OF SAN JOSE","SAN JOSE","CA","SANTA CLARA","186","169","425","476","425","412"
"339","VALLEY PRESBYTERIAN HOSPITAL","VAN NUYS","CA","LOS ANGELES","168","188","367","431","246","245"
"340","WOODLAND MEMORIAL HOSPITAL","WOODLAND","CA","YOLO","31","25","53","71","108","108"
"341","TRI-CITY MEDICAL CENTER","OCEANSIDE","CA","SAN DIEGO","253","243","369","465","483","539"
"342","ST BERNARDINE MEDICAL CENTER","SAN BERNARDINO","CA","SAN BERNARDINO","209","335","247","322","226","244"
"343","NOVATO COMMUNITY HOSPITAL","NOVATO","CA","MARIN","37","30","103","120","81","82"
"344","SAN GABRIEL VALLEY MEDICAL CENTER","SAN GABRIEL","CA","LOS ANGELES","80","51","255","284","379","397"
"345","RIDEOUT MEMORIAL HOSPITAL","MARYSVILLE","CA","YUBA","259","262","503","581","701","719"
"346","HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD","HOLLYWOOD","CA","LOS ANGELES","16","17","29","32","85","86"
"347","PETALUMA VALLEY HOSPITAL","PETALUMA","CA","SONOMA","121","106","119","133","190","198"
"348","KAISER FOUNDATION HOSPITAL - PANORAMA CITY","PANORAMA CITY","CA","LOS ANGELES","7","5","30","35","26","19"
"349","KAISER FOUNDATION HOSPITAL - LOS ANGELES","LOS ANGELES","CA","LOS ANGELES","23","32","23","21","12","12"
"350","KAISER FOUNDATION HOSPITAL - DOWNEY","DOWNEY","CA","LOS ANGELES","15","7","12","14","16","13"
"351","KAISER FOUNDATION HOSPITAL FONTANA","FONTANA","CA","SAN BERNARDINO","18","9","28","33","43","50"
"352","COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA","MONTEREY","CA","MONTEREY","237","225","414","475","500","496"
"353","CALIFORNIA HOSPITAL MEDICAL CENTER LA","LOS ANGELES","CA","LOS ANGELES","44","21","160","204","68","65"
"354","SIERRA NEVADA MEMORIAL HOSPITAL","GRASS VALLEY","CA","NEVADA","104","71","249","312","304","363"
"355","SAINT FRANCIS MEMORIAL HOSPITAL","SAN FRANCISCO","CA","SAN FRANCISCO","28","17","170","198","209","209"
"356","O'CONNOR HOSPITAL","SAN JOSE","CA","SANTA CLARA","147","152","446","544","399","417"
"357","ENCINO HOSPITAL MEDICAL CENTER","ENCINO","CA","LOS ANGELES","32","32","95","124","66","75"
"358","VENTURA COUNTY MEDICAL CENTER","VENTURA","CA","VENTURA","20","11","64","86","95","94"
"359","SAN JOAQUIN GENERAL HOSPITAL","FRENCH CAMP","CA","SAN JOAQUIN","28","17","63","80","71","76"
"360","ST JUDE MEDICAL CENTER","FULLERTON","CA","ORANGE","322","325","566","665","415","423"
"361","PRESBYTERIAN INTERCOMMUNITY HOSPITAL","WHITTIER","CA","LOS ANGELES","369","394","307","397","288","310"
"362","SANTA ROSA MEMORIAL HOSPITAL","SANTA ROSA","CA","SONOMA","296","301","467","521","414","406"
"363","EMANUEL MEDICAL CENTER INC","TURLOCK","CA","STANISLAUS","151","101","333","382","417","412"
"364","JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS","WALNUT CREEK","CA","CONTRA COSTA","294","263","498","531","413","441"
"365","GEORGE L MEE MEMORIAL HOSPITAL","KING CITY","CA","MONTEREY","4","2","45","53","63","62"
"366","ST MARY MEDICAL CENTER","LONG BEACH","CA","LOS ANGELES","76","82","169","206","218","207"
"367","ADVENTIST MEDICAL CENTER - REEDLEY","REEDLEY","CA","FRESNO","14","8","53","63","111","117"
"368","WATSONVILLE COMMUNITY HOSPITAL","WATSONVILLE","CA","SANTA CRUZ","69","44","238","273","190","198"
"369","WASHINGTON HOSPITAL","FREMONT","CA","ALAMEDA","231","234","410","479","456","461"
"370","CENTRAL VALLEY GENERAL HOSPITAL","HANFORD","CA","KINGS","4","5","49","71","58","62"
"371","SEQUOIA HOSPITAL","REDWOOD CITY","CA","SAN MATEO","98","107","354","423","249","257"
"372","PALMDALE REGIONAL MEDICAL CENTER","PALMDALE","CA","LOS ANGELES","87","74","211","273","186","190"
"373","EAST VALLEY HOSPITAL MEDICAL CENTER","GLENDORA","CA","LOS ANGELES","27","26","41","45","98","106"
"374","ALAMEDA HOSPITAL","ALAMEDA","CA","ALAMEDA","75","67","177","225","186","199"
"375","SHARP CHULA VISTA MEDICAL CENTER","CHULA VISTA","CA","SAN DIEGO","240","247","470","577","369","364"
"376","HOAG MEMORIAL HOSPITAL PRESBYTERIAN","NEWPORT BEACH","CA","ORANGE","277","261","564","694","739","756"
"377","FEATHER RIVER HOSPITAL","PARADISE","CA","BUTTE","117","89","193","211","260","259"
"378","AHMC ANAHEIM REGIONAL MEDICAL CENTER","ANAHEIM","CA","ORANGE","117","135","272","351","267","292"
"379","SAN FRANCISCO GENERAL HOSPITAL","SAN FRANCISCO","CA","SAN FRANCISCO","67","52","134","167","110","128"
"380","GARDEN GROVE HOSPITAL & MEDICAL CENTER","GARDEN GROVE","CA","ORANGE","97","80","87","103","127","128"
"381","POMONA VALLEY HOSPITAL MEDICAL CENTER","POMONA","CA","LOS ANGELES","117","117","355","421","168","166"
"382","FRENCH HOSPITAL MEDICAL CENTER","SAN LUIS OBISPO","CA","SAN LUIS OBISPO","188","234","165","196","181","198"
"383","SHARP CORONADO HOSPITAL AND HLTHCR CTR","CORONADO","CA","SAN DIEGO","16","11","63","82","62","65"
"384","PROVIDENCE SAINT JOSEPH MEDICAL CTR","BURBANK","CA","LOS ANGELES","212","213","691","831","385","380"
"385","SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES","SIMI VALLEY","CA","VENTURA","129","93","192","226","206","202"
"386","METHODIST HOSPITAL OF SOUTHERN CA","ARCADIA","CA","LOS ANGELES","304","294","619","724","518","517"
"387","GLENDALE ADVENTIST MEDICAL CENTER","GLENDALE","CA","LOS ANGELES","311","331","528","639","518","508"
"388","DOMINICAN HOSPITAL","SANTA CRUZ","CA","SANTA CRUZ","219","227","404","460","348","351"
"389","DESERT REGIONAL MEDICAL CENTER","PALM SPRINGS","CA","RIVERSIDE","201","228","262","304","277","294"
"390","ARROWHEAD REGIONAL MEDICAL CENTER","COLTON","CA","SAN BERNARDINO","36","26","92","128","96","100"
"391","NATIVIDAD MEDICAL CENTER","SALINAS","CA","MONTEREY","30","16","56","74","98","97"
"392","MARSHALL MEDICAL CENTER (1-RH)","PLACERVILLE","CA","EL DORADO","80","43","261","305","347","345"
"393","GOOD SAMARITAN HOSPITAL","BAKERSFIELD","CA","KERN","Not Available","Not Available","32","42","61","67"
"394","SIERRA VIEW DISTRICT HOSPITAL","PORTERVILLE","CA","TULARE","125","67","327","362","452","437"
"395","RONALD REAGAN UCLA MEDICAL CENTER","LOS ANGELES","CA","LOS ANGELES","162","178","293","361","203","213"
"396","REDLANDS COMMUNITY HOSPITAL","REDLANDS","CA","SAN BERNARDINO","79","52","157","163","282","293"
"397","CONTRA COSTA REGIONAL MEDICAL CENTER","MARTINEZ","CA","CONTRA COSTA","8","3","67","89","62","70"
"398","PACIFIC HOSPITAL OF LONG BEACH","LONG BEACH","CA","LOS ANGELES","13","10","62","80","104","101"
"399","PROVIDENCE HOLY CROSS MEDICAL CENTER","MISSION HILLS","CA","LOS ANGELES","121","143","404","503","390","401"
"400","HI-DESERT MEDICAL CENTER","JOSHUA TREE","CA","SAN BERNARDINO","30","12","106","114","154","146"
"401","VA LONG BEACH HEALTHCARE SYSTEM","LONG BEACH                    ","CA","LOS ANGELES","80","68","257","339","208","223"
"402","MERCY MEDICAL CENTER REDDING","REDDING","CA","SHASTA","364","406","493","570","556","602"
"403","ALHAMBRA HOSPITAL MEDICAL CENTER","ALHAMBRA","CA","LOS ANGELES","85","61","155","184","261","275"
"404","VALLEYCARE MEDICAL CENTER","PLEASANTON","CA","ALAMEDA","168","158","236","278","335","336"
"405","SETON MEDICAL CENTER","DALY CITY","CA","SAN MATEO","135","125","504","596","324","319"
"406","SAINT JOHN'S HEALTH CENTER","SANTA MONICA","CA","LOS ANGELES","242","232","406","514","533","544"
"407","SUTTER MEDICAL CENTER OF SANTA ROSA","SANTA ROSA","CA","SONOMA","119","157","106","158","62","75"
"408","RIVERSIDE COUNTY REGIONAL MEDICAL CENTER","MORENO VALLEY","CA","RIVERSIDE","35","24","89","122","81","94"
"409","MERCY HOSPITAL","BAKERSFIELD","CA","KERN","44","24","139","156","390","433"
"410","HAZEL HAWKINS MEMORIAL HOSPITAL","HOLLISTER","CA","SAN BENITO","28","17","102","127","145","140"
"411","BARSTOW COMMUNITY HOSPITAL","BARSTOW","CA","SAN BERNARDINO","27","15","156","191","82","88"
"412","ST MARY MEDICAL CENTER","APPLE VALLEY","CA","SAN BERNARDINO","279","287","370","449","233","249"
"413","UKIAH VALLEY MEDICAL CENTER/HOSPITAL D","UKIAH","CA","MENDOCINO","38","20","140","190","202","212"
"414","ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP","BERKELEY","CA","ALAMEDA","103","92","315","370","226","239"
"415","EL CAMINO HOSPITAL","MOUNTAIN VIEW","CA","SANTA CLARA","232","218","545","645","533","536"
"416","SUTTER ROSEVILLE MEDICAL CENTER","ROSEVILLE","CA","PLACER","269","222","363","426","417","461"
"417","VA N CALIFORNIA HEALTHCARE SYSTEM","MATHER                        ","CA","SACRAMENTO","69","75","243","299","281","310"
"418","SUTTER TRACY COMMUNITY HOSPITAL","TRACY","CA","SAN JOAQUIN","33","15","131","150","135","131"
"419","KERN MEDICAL CENTER","BAKERSFIELD","CA","KERN","8","7","19","28","19","18"
"420","PALO ALTO VA MEDICAL CENTER","PALO ALTO                     ","CA","SANTA CLARA","89","96","255","312","181","193"
"421","ALAMEDA COUNTY MEDICAL CENTER","OAKLAND","CA","ALAMEDA","16","13","58","79","46","55"
"422","SCRIPPS MEMORIAL HOSPITAL LA JOLLA","LA JOLLA","CA","SAN DIEGO","234","255","320","391","311","316"
"423","LOMA LINDA UNIVERSITY MEDICAL CENTER","LOMA LINDA","CA","SAN BERNARDINO","180","222","367","490","188","210"
"424","CORONA REGIONAL MEDICAL CENTER","CORONA","CA","RIVERSIDE","72","47","238","265","237","229"
"425","SALINAS VALLEY MEMORIAL HOSPITAL","SALINAS","CA","MONTEREY","250","263","466","581","378","375"
"426","SONORA REGIONAL MEDICAL CENTER","SONORA","CA","TUOLUMNE","116","72","171","194","353","373"
"427","LODI MEMORIAL HOSPITAL","LODI","CA","SAN JOAQUIN","127","76","309","364","424","440"
"428","PIONEERS MEMORIAL HEALTHCARE DISTRICT","BRAWLEY","CA","IMPERIAL","69","41","173","204","277","291"
"429","UNIVERSITY OF CALIFORNIA IRVINE MED CENTER","ORANGE","CA","ORANGE","55","58","120","175","99","137"
"430","CORCORAN DISTRICT HOSPITAL","CORCORAN","CA","KINGS","Not Available","1","5","8","9","7"
"431","BEVERLY HOSPITAL","MONTEBELLO","CA","LOS ANGELES","95","87","296","370","246","250"
"432","TORRANCE MEMORIAL MEDICAL CENTER","TORRANCE","CA","LOS ANGELES","283","279","475","592","457","484"
"433","BARTON MEMORIAL HOSPITAL","SOUTH LAKE TAHOE","CA","EL DORADO","22","14","54","66","69","73"
"434","PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE","TORRANCE","CA","LOS ANGELES","180","189","487","621","399","416"
"435","GOLETA VALLEY COTTAGE HOSPITAL","SANTA BARBARA","CA","SANTA BARBARA","5","4","46","56","56","57"
"436","TULARE REGIONAL MEDICAL CENTER","TULARE","CA","TULARE","81","44","143","166","239","238"
"437","MARIN GENERAL HOSPITAL","GREENBRAE","CA","MARIN","219","230","303","366","370","377"
"438","NORTHBAY MEDICAL CENTER","FAIRFIELD","CA","SOLANO","79","74","170","205","201","205"
"439","LAC+USC MEDICAL CENTER","LOS ANGELES","CA","ORANGE","26","22","46","67","48","51"
"440","LAC/HARBOR-UCLA MED CENTER","TORRANCE","CA","LOS ANGELES","49","44","56","71","41","43"
"441","PACIFICA HOSPITAL OF THE VALLEY","SUN VALLEY","CA","LOS ANGELES","16","4","54","77","68","74"
"442","GOOD SAMARITAN HOSPITAL","SAN JOSE","CA","SANTA CLARA","280","291","481","539","361","347"
"443","CITRUS VALLEY MEDICAL CENTER-IC CAMPUS","COVINA","CA","LOS ANGELES","248","263","524","618","403","416"
